"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"1","ANCHOR POINT PUBLIC LIBRARY","AK","NP",2105,1,0,0,0,0,71874,0,4072,0,747,0,19307,0,3594,186,0,0,5127,1950,0,8684,2660,1074,0,30
"2","ANCHORAGE PUBLIC LIBRARY","AK","CO",291247,1,4,0,15,15,9357471,0,352940,563082,142800,0,293474,45520,55599,25587,22,20522,261807,123846,389911,490979,187776,36485,0,0
"3","ANDERSON COMMUNITY LIBRARY","AK","CI",177,1,0,0,0,0,13885,0,1017,258,1660,0,15518,0,1393,266,0,0,421,138,7,759,361,93,5,0
"4","KUSKOKWIM CONSORTIUM LIBRARY","AK","MJ",6325,1,0,0,1,1,138115,0,14872,1750,0,0,34236,23671,4988,2158,0,12669,12817,2062,1576,8404,3423,1902,0,0
"5","BIG LAKE PUBLIC LIBRARY","AK","MJ",10066,1,0,0,1,2,417502,0,30000,0,2975,0,20241,23671,3085,1598,0,12669,27063,2867,0,28701,14473,4252,64,59
"6","CANTWELL COMMUNITY LIBRARY","AK","CO",196,1,0,0,0,0,23932,0,5185,227,1125,0,10794,23671,741,335,0,12669,480,170,117,658,221,1,0,0
"7","CHINIAK PUBLIC LIBRARY","AK","NP",61,1,0,0,0,0,20088,0,1744,275,1543,0,4380,226,1200,60,0,14,2054,90,109,2194,450,527,0,0
"8","COLD BAY PUBLIC LIBRARY","AK","CI",50,1,0,0,0,0,42651,0,1521,100,2189,0,2052,0,1758,249,0,0,1196,136,0,1722,54,58,0,0
"9","COOPER LANDING COMMUNITY LIBRARY","AK","NP",344,1,0,0,0,0,40903,0,3551,1090,643,0,3715,0,1048,0,0,0,1155,135,325,24,0,355,0,42
"10","CORDOVA PUBLIC LIBRARY","AK","NP",2609,1,0,0,0,3,656061,0,17442,1900,0,0,22196,23671,1676,626,0,12669,11475,3006,3505,9657,5778,1582,1,240
"11","CRAIG PUBLIC LIBRARY","AK","CI",1036,1,0,0,0,0.82,136441,0,6750,0,2045,0,11106,23559,3795,509,0,11976,5472,1991,1274,15980,5060,1104,0,412
"12","DELTA COMMUNITY LIBRARY","AK","CI",918,1,0,0,0,1,305240,0,9132,0,3919,0,12756,23671,3531,603,0,12674,35949,3366,6822,33179,19325,2374,59,739
"13","DILLINGHAM PUBLIC LIBRARY","AK","CI",2249,1,0,0,0,1.3,178831,0,3441,1750,2717,0,39343,23671,8256,0,0,12669,3568,3777,1083,5518,0,757,0,127
"14","EAGLE PUBLIC LIBRARY","AK","CI",83,1,0,0,0,0.45,20494,0,1800,300,2400,0,9954,2,3874,590,0,0,1020,220,212,3519,0,153,0,0
"15","FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES","AK","NL",95655,1,1,1,13.12,14.85,5820395,1523666,410707,226039,45290,32133,274520,824478,40993,24629,79660,727035,203237,42522,121270,416997,163235,14538,774,660
"16","CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","AK","CO",472,1,0,0,0,0,40087,0,2211,0,1287,0,9204,0,827,100,0,0,2664,532,0,7549,2256,448,0,27
"17","COPPER VALLEY COMMUNITY LIBRARY","AK","CI",439,1,0,0,0,0,37676,0,6870,481,403,0,23020,23671,3108,1104,0,12669,1560,697,1111,4907,1584,516,0,150
"18","GUSTAVUS PUBLIC LIBRARY","AK","CI",655,1,0,0,0,1.25,134602,0,13868,554,1168,0,12648,23671,2164,0,0,12669,3327,643,1463,8487,3716,193,0,147
"19","HAINES BOROUGH PUBLIC LIBRARY","AK","CI",2080,1,0,0,0,3,524763,0,17834,1750,4925,0,25433,23671,5611,1724,0,12669,37500,3198,3891,84289,0,7171,70,82
"20","TRI-VALLEY COMMUNITY LIBRARY","AK","CO",966,1,0,0,0,0,49417,0,9866,1082,286,0,23717,23567,1509,383,0,12297,1162,1057,3156,434,368,157,0,63
"21","HOLLIS PUBLIC LIBRARY","AK","NP",65,1,0,0,0,0,10012,0,1834,0,1750,0,5729,0,2494,20,0,20,1724,302,0,2278,48,121,0,0
"22","HOMER PUBLIC LIBRARY","AK","CI",5522,1,0,0,2,2,996154,40000,45886,17224,12235,26966,44639,23671,4955,2025,0,12669,67357,10747,25186,104398,43757,9026,225,251
"23","HOPE SUNRISE COMMUNITY LIBRARY","AK","CI",161,1,0,0,0,0,32225,0,2822,0,1138,0,4896,0,2536,235,0,0,1541,170,0,757,142,260,0,30
"24","JUNEAU PUBLIC LIBRARIES","AK","NL",32255,1,2,0,4.75,4.75,3091966,0,92207,64378,16767,0,108437,32068,7136,6351,53389,502699,137339,17698,33139,178663,81814,17706,16,332
"25","KASILOF PUBLIC LIBRARY","AK","CO",525,1,0,0,0,0.34,16448,0,3015,0,533,0,11761,0,393,170,0,0,2548,93,0,4426,1071,277,0,0
"26","KENAI COMMUNITY LIBRARY","AK","NP",7424,1,0,0,1,2,976959,0,55494,11492,11321,0,62270,23671,3790,1636,0,12669,48220,6822,17283,80224,30363,5535,0,10
"27","KETCHIKAN PUBLIC LIBRARY","AK","NP",13948,1,0,0,3,3.6,1278869,0,65466,16712,4939,0,52889,23595,7001,3763,0,12771,33824,9005,21378,60789,30403,3498,338,124
"28","KODIAK PUBLIC LIBRARY","AK","MJ",12761,1,0,0,3,3,935206,0,19621,10550,11100,0,65642,23671,4435,2848,0,7120,34780,9360,11367,41179,19892,2707,87,37
"29","CHUKCHI CONSORTIUM LIBRARY","AK","CI",3102,1,0,0,1,1,13000,0,6662,0,338,0,12623,0,2093,254,0,0,1259,1254,0,1262,48,623,0,0
"30","MCGRATH COMMUNITY LIBRARY","AK","NP",301,1,0,0,0,0,46740,0,1749,800,1020,0,14128,23671,1677,79,0,12669,190,384,0,781,320,50,0,57
"31","CENTENNIAL LIBRARY","AK","NP",1454,1,0,0,0,0,51446,0,4307,289,1037,0,16891,23671,565,229,0,12669,1040,500,103,5,0,800,0,15
"32","MARTIN MONSEN REGIONAL LIBRARY","AK","NP",844,1,1,0,0,1,494200,0,7538,0,2929,0,15856,0,4661,224,0,0,7359,407,250,11807,891,1503,0,15
"33","NENANA PUBLIC LIBRARY","AK","CO",482,1,0,0,0,0,24500,0,2500,0,1000,0,9975,0,2903,609,0,0,350,86,0,3950,3000,300,0,0
"34","NINILCHIK COMMUNITY LIBRARY","AK","CI",845,1,0,0,0,0,40039,0,1846,1923,1985,0,12963,20000,2048,952,0,0,3041,602,1161,5549,353,540,0,75
"35","KEGOAYAH KOZGA LIBRARY","AK","NP",3699,1,0,0,0,1,339463,0,26816,650,1988,0,26347,23671,2077,578,0,12669,5000,2944,1617,6043,4440,623,0,16
"36","PALMER PUBLIC LIBRARY","AK","NL",28295,1,0,0,1,1,633858,0,38837,0,0,0,61821,23671,5244,3306,0,12669,38568,9784,98113,85703,46433,1766,225,32
"37","PELICAN PUBLIC LIBRARY","AK","CO",98,1,0,0,0,0,31719,0,925,0,6075,0,9902,0,4145,0,0,0,2080,270,0,1951,126,542,0,0
"38","PETERSBURG PUBLIC LIBRARY","AK","CI",3398,1,0,0,1,3,520603,2520,17130,1998,13885,2520,21929,23671,7216,670,0,12669,30000,2897,4651,55907,0,2304,0,12
"39","JESSIE WAKEFIELD MEMORIAL LIBRARY","AK","CI",170,1,0,0,0,0.33,32808,0,976,0,1886,0,10702,0,1793,245,0,0,2040,164,0,5252,347,90,5,438
"40","SELDOVIA PUBLIC LIBRARY","AK","CI",235,1,0,0,0,0,14000,0,3013,0,1537,0,9604,0,2496,234,0,0,2082,383,0,2084,450,216,0,4
"41","SEWARD COMMUNITY LIBRARY AND MUSEUM","AK","NP",2717,1,0,0,0,4,616043,0,8756,8011,2484,0,22152,23671,5040,1174,0,12669,84215,1327,6364,0,0,7092,0,0
"42","SITKA PUBLIC LIBRARY","AK","CI",8458,1,0,0,1,5,1094476,0,47958,4700,19881,0,46023,23671,7008,2419,29157,12669,68595,5241,10564,65115,26014,3553,125,95
"43","SKAGWAY PUBLIC LIBRARY","AK","CO",1164,1,0,0,0,1,306266,0,7373,2492,659,0,9867,23671,1559,183,29236,12669,9959,546,2262,6723,2594,2659,25,71
"44","JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY","AK","CI",4342,1,0,0,1,1,906741,0,63187,5000,6500,0,49880,23671,5839,4052,0,12669,67347,10860,25926,120105,62661,6512,1,12
"45","SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER","AK","MJ",4758,1,0,0,0,1.8,361899,0,15448,500,2719,0,20498,23671,2887,1233,0,12669,16494,1582,98113,17689,8994,1449,43,22
"46","TAKOTNA COMMUNITY LIBRARY","AK","NP",56,1,0,0,0,0,15000,0,3500,0,0,0,3500,0,0,0,0,0,36,50,0,29,0,10,0,0
"47","TALKEETNA PUBLIC LIBRARY","AK","CO",7635,1,0,0,0.88,1.88,455165,0,34690,0,2655,0,24294,0,5870,1639,0,0,28398,5678,0,41965,8443,2437,60,45
"48","TANANA COMMUNITY/SCHOOL LIBRARY","AK","CI",246,1,0,0,0,0.24,7000,0,1413,0,1822,0,9414,177,956,250,0,0,1197,218,97,2168,502,130,0,0
"49","DERMOTT O`TOOLE MEMORIAL LIBRARY","AK","CO",116,1,0,0,0,0,27309,0,1917,169,1999,0,7278,0,0,4665,0,0,682,132,312,2057,478,9,0,102
"50","TOK COMMUNITY LIBRARY","AK","CI",1243,1,0,0,0,0,30944,0,4764,814,349,0,6485,21587,1163,674,0,12992,1842,450,569,1410,457,451,0,0
"51","VALDEZ CONSORTIUM LIBRARY","AK","CI",3985,1,0,0,2,2,685973,0,17957,1000,2100,385442,32133,24340,2381,1105,0,12928,18699,3880,3790,17807,5285,1158,17,10
"52","WASILLA PUBLIC LIBRARY","AK","MJ",48422,1,0,0,3,3,1428986,18741,75430,15240,12083,18741,62074,23671,4517,3337,0,12669,85306,15597,98113,193835,98185,13657,268,140
"53","WILLOW PUBLIC LIBRARY","AK","CI",4941,1,0,0,0,1.88,395245,0,22602,500,1650,0,19675,23671,4574,1523,0,12669,13144,1929,98113,18962,5776,2520,128,86
"54","IRENE INGLE PUBLIC LIBRARY","AK","CO",2127,1,0,0,0,1,269120,0,16530,1750,0,0,38000,23671,3327,605,0,12669,13936,2320,2109,20208,8074,1340,0,138
"55","FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY","AK","CI",178,1,0,0,0,0,11017,35000,1022,1201,1023,0,8227,23671,2379,717,0,0,1173,584,947,2097,0,61,0,74
"56","TUZZY CONSORTIUM LIBRARY","AK","MJ",11031,1,7,0,2,2,841640,0,27130,41794,4878,0,40395,23229,8038,1222,0,11976,17843,2232,995,13175,713,2147,0,0
"57","MOOSE PASS PUBLIC LIBRARY","AK","NL",228,1,0,0,0,0,20848,0,6848,337,483,0,6950,0,1675,0,0,0,696,313,156,671,226,67,0,99
"58","TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY","AK","CI",89,1,0,0,0,0,14500,0,3500,0,0,0,5445,0,0,0,0,0,800,45,0,200,150,322,0,0
"59","EGEGIK VILLAGE LIBRARY","AK","NP",39,1,0,0,0,0.86,13000,0,224,0,5191,0,4337,7,1948,40,0,0,390,37,11,12,7,21,0,0
"60","TRAPPER CREEK PUBLIC LIBRARY","AK","NP",2964,1,0,0,0,0.75,230250,0,15793,0,2811,0,15079,23671,4440,1250,0,12669,3948,405,98113,9995,1782,623,0,0
"61","HOLY CROSS COMMUNITY/SCHOOL LIBRARY","AK","NP",176,1,0,0,0,0,14500,0,3500,0,0,0,6511,19515,33,0,0,11976,725,45,0,200,150,25,0,0
"62","OUZINKIE TRIBAL MEDIA CENTER","AK","CI",109,1,0,0,0,0,20635,0,1164,1500,1500,0,2370,0,855,0,0,0,1040,130,0,2080,500,572,0,0
"63","UNALASKA PUBLIC LIBRARY","AK","CO",4254,1,0,0,1,1,873821,8681981,52661,15848,10630,2595834,22668,23804,7339,0,0,12740,15479,10459,1770,37322,8181,2416,2390,90
"64","ANIAK PUBLIC LIBRARY","AK","CI",507,1,0,0,1,1,34875,0,919,200,800,0,2226,19515,604,0,0,11976,445,1,0,347,50,60,0,0
"65","HYDER PUBLIC LIBRARY","AK","NP",48,1,0,0,0,0,7000,0,276,589,1480,0,9143,0,2351,0,0,0,547,67,0,876,98,25,0,0
"66","INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY","AK","CI",100,1,0,0,0,0,15000,0,3500,0,0,0,4528,0,504,60,0,0,36,45,0,2500,2500,322,0,0
"67","BLACKWELL COMMUNITY/SCHOOL LIBRARY","AK","CI",70,1,0,0,0,0,15000,0,4200,0,0,0,656,41120,107,30,122,1240,200,45,0,200,150,403,0,0
"68","DAVID LOUIS COMMUNITY/SCHOOL LIBRARY","AK","NP",210,1,0,0,0,0,15000,0,3500,0,0,0,789,0,0,0,0,0,800,55,0,200,150,322,0,0
"69","LAKE MINCHUMINA COMMUNITY LIBRARY","AK","MJ",30,1,0,0,0,0,14300,0,2000,500,1000,0,3080,0,1256,100,0,0,960,50,0,1250,0,450,0,0
"70","IGIUGIG TRIBAL LIBRARY","AK","NP",68,1,0,0,0.5,0.5,52593,0,2960,475,330,0,11914,23671,277,45,0,12669,874,75,24,56,43,161,0,3
"71","COFFMAN COVE COMMUNITY LIBRARY","AK","NP",127,1,0,0,0,0,24499,0,2218,0,0,0,20258,23671,1444,28,0,12669,2061,384,102,1203,178,342,0,112
"72","THORNE BAY PUBLIC LIBRARY","AK","CI",476,1,0,0,0.25,0.25,12999,0,2734,647,1452,0,4827,19515,1929,185,0,11976,324,137,232,2377,971,251,0,0
"73","WHALE PASS COMMUNITY LIBRARY","AK","CO",86,1,0,0,0,0,7000,0,0,0,0,0,6938,19515,1861,112,0,11976,2747,92,106,3023,175,45,0,0
"74","KLUKWAN COMMUNITY/SCHOOL LIBRARY","AK","CO",87,1,0,0,0,0.55,42958,0,500,0,1652,0,7382,0,1905,141,0,0,100,280,0,694,98,161,0,2
"75","SAMUEL B. FOSS LIBRARY","AK","CO",43,1,0,0,0.25,0.25,36835,0,1678,0,3531,0,5311,23671,1545,12669,0,0,512,92,21,1096,0,161,0,35
"76","EDNA BAY COMMUNITY LIBRARY","AK","CI",25,1,0,0,0,0,36920,0,1870,68,1993,0,10475,0,1744,0,0,0,381,32,0,479,0,100,0,4
"77","CARL ELLIOTT REGIONAL LIBRARY SYSTEM","AL","MJ",63652,1,0,0,1,3,285815,116000,36028,12000,0,116000,0,48489,0,0,0,9047,0,0,0,0,0,0,0,0
"78","ARLEY PUBLIC LIBRARY","AL","CI",340,1,0,0,0,0.5,57341,0,2615,1500,0,0,11273,56286,759,617,0,12660,7692,2003,1087,8977,2644,408,0,0
"79","DOUBLE SPRINGS PUBLIC LIBRARY","AL","CI",1062,1,0,0,0,1,72062,0,2725,1500,0,0,12109,56286,164,61,0,12660,6253,1860,693,2190,469,674,0,0
"80","HALEYVILLE PUBLIC LIBRARY","AL","CI",4104,1,0,0,0,2,153929,0,4180,1500,0,0,13397,56286,868,267,0,12660,7863,3616,3719,7044,2897,499,0,0
"81","JASPER PUBLIC LIBRARY","AL","CI",13278,1,0,0,1,4.2,262664,0,25470,4000,0,0,68821,56286,5516,820,0,12660,28347,15996,8901,28731,10172,2550,0,0
"82","SUMITON PUBLIC LIBRARY","AL","CI",2330,1,0,0,0,1,109770,10496,3500,1500,0,10496,11217,56286,859,184,0,12660,7039,2653,9840,2828,1156,517,0,0
"83","CHEAHA REGIONAL LIBRARY","AL","MJ",99877,1,0,1,0,1,192696,0,20227,27049,161,0,26503,9084,597,412,0,2939,2299,7439,76735,22906,5925,175,32,75
"84","ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY","AL","CI",5940,1,0,0,0,1,183159,0,7918,3000,0,0,29882,50917,108,197,735,10260,34039,2725,1746,19101,8839,11721,0,0
"85","ASHLAND CITY PUBLIC LIBRARY","AL","CI",1872,1,0,0,0,0,141791,0,8041,2395,614,0,22394,43722,947,44,0,8783,8878,6202,2557,7103,3197,1642,0,0
"86","SYLACAUGA - B. B. COMER MEMORIAL LIBRARY","AL","CI",11939,1,0,0,1,2,747658,0,23090,4910,22249,0,104929,59051,122,1502,0,13061,42843,33667,11218,175662,69697,7358,3,2
"87","CHEROKEE COUNTY PUBLIC LIBRARY","AL","CO",3528,1,0,0,0,1.8,275194,0,15786,1500,2980,0,25737,52492,2,969,763,10950,40695,9459,2658,45064,5048,8800,30,58
"88","CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY","AL","CI",4781,1,0,0,0,1,190234,0,17461,1500,7695,0,57082,60589,2546,1030,821,12660,18004,15724,1118,13856,4912,1938,43,50
"89","LINCOLN PUBLIC LIBRARY","AL","CI",6979,1,0,0,0,1,212010,0,9598,12000,0,0,20478,47584,140,202,0,56535,6969,2414,3014,5899,3313,2641,6,11
"90","LINEVILLE PUBLIC LIBRARY","AL","CI",2221,1,0,0,0,1,30880,0,3599,0,507,0,13667,0,76,400,0,0,5000,1475,0,2942,323,500,25,36
"91","HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY","AL","CI",3408,1,0,0,0,1,66481,0,3913,0,0,0,14458,0,1056,241,0,0,5756,6196,0,17095,7626,682,5,10
"92","OXFORD PUBLIC LIBRARY","AL","CI",21216,1,0,0,1,1,594119,0,17266,12721,6366,0,68892,56762,4289,4842,0,12795,36354,27130,12185,62768,33611,4507,59,36
"93","TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY","AL","CI",15300,1,0,0,1,1,476611,0,33527,2000,0,0,79442,44673,380,651,681,7707,14000,21592,124,14643,4302,3208,58,16
"94","ABBEVILLE MEMORIAL LIBRARY","AL","CI",7514,1,0,0,0,1,166790,0,7752,3000,868,0,26189,43722,1509,535,0,8783,9846,3244,1832,10008,2612,2245,0,0
"95","HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY","AL","CI",9709,1,0,0,0,3,182218,0,8242,3000,957,0,12950,43722,501,682,0,8783,15096,5312,4694,15115,6689,690,0,0
"96","BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY","AL","CI",5983,1,0,0,0.5,0.5,371385,0,26306,3000,4661,0,15573,60683,1651,66,821,12660,7800,3691,795,6501,2940,987,0,0
"97","OZARK - DALE COUNTY PUBLIC LIBRARY","AL","MJ",36876,1,0,0,1,2,482181,480359,13233,0,2450,271019,18337,47887,335,1125,0,9024,73618,12833,6119,11702,5015,13233,3,10
"98","CLIO - ELTON B. STEPHENS LIBRARY","AL","CI",3372,1,0,0,0,1,14052,0,2392,0,197,0,24850,0,365,175,0,0,2560,1345,0,4950,208,35,0,0
"99","LOUISVILLE PUBLIC LIBRARY","AL","CI",2560,1,0,0,0,0.6,8469,0,1456,1298,0,0,4585,0,15,0,0,0,110,195,0,160,10,18,0,0
"100","MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY","AL","CI",2377,1,0,0,0,0.88,52083,0,814,0,0,0,9353,0,494,75,0,0,12041,2263,0,3131,529,3821,0,0
"101","NEWTON PUBLIC LIBRARY","AL","CI",2079,1,0,0,0,1,45782,0,754,0,137,0,10124,0,279,65,2,3,6074,1073,243,16019,2337,1833,0,0
"102","CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY","AL","CI",4933,1,0,0,0,0.63,26764,0,2725,0,125,0,15525,0,366,245,0,0,3072,1559,0,769,147,2420,0,0
"103","TROY PUBLIC LIBRARY","AL","CI",26983,1,0,0,1,7,705428,0,51289,18985,12536,0,64851,40972,3699,2231,710,7732,65716,24723,10041,130420,59956,3791,0,105
"104","UNION SPRINGS PUBLIC LIBRARY","AL","MJ",9976,1,0,0,0,0.6,55728,0,9551,0,0,0,13667,0,0,0,0,0,4523,2625,0,2042,282,2989,0,0
"105","ANDALUSIA PUBLIC LIBRARY","AL","CI",17867,1,0,0,1,5,378269,0,21963,13995,30,0,33884,260,859,623,0,23,30458,47773,3436,35165,8041,4158,153,451
"106","BRANTLEY PUBLIC LIBRARY","AL","CI",3412,1,0,0,0,2,32373,0,4670,0,0,0,7400,0,0,0,0,0,1200,1105,0,16205,5120,40,0,0
"107","ELBA PUBLIC LIBRARY","AL","CI",10013,1,0,0,1,2,148577,0,14800,3000,541,0,19077,1041,1359,1313,0,381,17248,1912,1422,12217,2903,1306,0,0
"108","GENEVA - EMMA KNOX KENAN LIBRARY","AL","CI",8206,1,0,0,0,2,118968,0,9246,0,338,0,19524,0,1027,183,0,0,5726,7139,0,5281,1654,696,0,0
"109","ENTERPRISE PUBLIC LIBRARY","AL","CI",43217,1,0,1,0,2,252540,0,24413,12472,7896,0,38386,6644,2200,1887,0,2215,56748,32164,56496,54889,35178,8335,0,11
"110","FLORALA PUBLIC LIBRARY","AL","CI",6298,1,0,0,0,1,83433,0,6710,1500,419,0,19723,47104,2077,427,0,8867,5504,3594,1898,6174,1980,1120,0,0
"111","HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY","AL","CI",6535,1,0,0,0,1,146000,0,13382,15185,2237,0,20795,5954,526,539,0,2604,7996,1546,1320,15102,4893,1303,0,0
"112","LUVERNE PUBLIC LIBRARY","AL","CI",10269,1,0,0,0,3,179207,0,6271,3957,6696,0,17925,49121,2358,1535,681,7705,19891,9000,3109,17516,8400,1973,66,28
"113","OPP PUBLIC LIBRARY","AL","CI",12765,1,0,0,0,3,163425,2000,10518,750,3179,0,31246,299,844,843,0,0,10191,3842,299,12301,3183,1217,418,24
"114","SAMSON PUBLIC LIBRARY","AL","CI",5797,1,0,0,0,0.7,30918,14540,6810,0,0,14540,9770,0,120,179,0,0,1720,1616,0,3749,467,292,0,0
"115","SLOCOMB PUBLIC LIBRARY","AL","CI",5873,1,0,0,0,0.5,28546,0,3962,0,0,0,8890,0,0,178,0,0,4125,1065,0,3100,1200,2500,0,0
"116","HORSESHOE BEND REGIONAL LIBRARY","AL","MJ",151407,1,0,1,0.8,2.4,347990,42652,38597,0,929,20744,45634,0,1245,851,0,0,4000,4589,0,33070,13049,0,769,4
"117","ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY","AL","CI",14142,1,1,0,1,2,473015,0,15334,17292,1657,0,30402,43722,1746,1147,0,8783,37477,10645,9153,19519,7758,4246,34,79
"118","DADEVILLE PUBLIC LIBRARY","AL","CI",3007,1,0,0,0,2,132121,0,9600,1914,1578,0,10840,51339,500,438,663,9355,17144,1804,5549,16271,1949,2560,13,243
"119","GOODWATER PUBLIC LIBRARY","AL","CI",1288,1,0,0,0,0.63,67429,0,3214,0,754,0,20266,0,2358,224,0,0,4213,3495,0,2757,372,950,14,0
"120","AUBURN PUBLIC LIBRARY","AL","CI",68343,1,0,0,7,7,2765293,126154,174701,183623,3976,124462,73189,4465,7991,2015,0,2279,123138,21620,98032,446938,289448,22858,449,179
"121","OPELIKA PUBLIC LIBRARY","AL","CI",31135,1,0,0,4,14,1646511,0,167528,25000,10000,0,43003,1880678,4989,2164,26578,732969,268982,11317,47521,231840,130169,12813,170,366
"122","MILLBROOK PUBLIC LIBRARY","AL","CI",16117,1,0,0,0,4,314436,0,19346,3000,2891,0,31272,56286,1363,1468,821,12660,18450,19584,8287,20874,9706,1827,8,8
"123","ROCKFORD PUBLIC LIBRARY","AL","CI",440,1,0,0,0,1,16911,0,1703,0,110,0,6347,0,164,110,0,0,550,402,0,696,110,155,0,82
"124","TALLASSEE COMMUNITY PUBLIC LIBRARY","AL","CI",4454,1,0,0,0,2,113604,8789,6291,1500,0,8789,29444,622865,1481,1136,298,350088,13268,2437,2904,13991,7735,3465,0,4
"125","WETUMPKA PUBLIC LIBRARY","AL","CI",8431,1,0,0,1,5,483752,0,12530,4910,2466,0,22030,56610,2428,2015,0,12664,27781,3593,21244,38006,13729,4711,35,62
"126","FLORENCE - LAUDERDALE PUBLIC LIBRARY","AL","MJ",90402,1,0,0,4,13,1266925,0,58995,9000,17204,18407,88968,11050,2867,2962,2,4693,98061,33026,31663,172766,88757,14354,0,7
"127","TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY","AL","MJ",12758,1,0,0,1,2.5,190201,0,20916,6572,3574,0,14864,6519,2146,930,0,837,16900,5505,1888,18929,6181,3311,0,0
"128","LEIGHTON PUBLIC LIBRARY","AL","MJ",5050,1,0,0,0,1,19109,0,1745,800,482,0,10578,0,4200,63,0,0,5979,2240,0,37188,6597,5422,0,0
"129","MUSCLE SHOALS PUBLIC LIBRARY","AL","MJ",19173,1,0,0,1,5,748477,24042,59439,84193,25686,24042,46004,733271,9642,3918,25958,175444,156000,22997,58458,115497,49908,4074,0,0
"130","ROGERSVILLE PUBLIC LIBRARY","AL","CI",1293,1,0,0,1,1,147960,14993,14455,0,577,14993,37587,50689,2349,1145,764,12660,12804,3048,2965,31632,14827,1735,0,0
"131","SHEFFIELD PUBLIC LIBRARY","AL","CI",13135,1,0,0,0,4,288576,0,38984,16738,5968,25000,44675,951043,4076,1673,25857,520561,16910,10606,5824,15545,1731,1343,0,0
"132","NORTHWEST REGIONAL LIBRARY","AL","MJ",34266,1,0,0,0.8,1.8,243739,0,57695,8000,1650,0,2585,0,0,0,0,0,0,49,7709,902,40,0,133,292
"133","HAMILTON - CLYDE NIX PUBLIC LIBRARY","AL","CI",6645,1,0,0,0,1,118604,13000,14000,0,1800,13000,16671,0,416,443,0,0,8106,1410,0,7990,2690,2178,6,4
"134","KENNEDY PUBLIC LIBRARY","AL","CI",421,1,0,0,0,0.8,38374,0,125,0,0,5100,4804,0,40,158,0,0,113,111,0,341,81,104,0,8
"135","GUIN - MCHS COMMUNITY LIBRARY","AL","MJ",2250,1,0,0,1,1.5,53076,0,13855,0,0,0,21496,0,192,51,0,0,485,1136,0,447,125,87,37,4
"136","MILLPORT PUBLIC LIBRARY","AL","CI",970,1,0,0,0,1,43990,0,12500,0,0,0,8335,0,257,52,0,0,851,435,0,1314,934,218,2,0
"137","RUSSELLVILLE PUBLIC LIBRARY","AL","CI",19078,1,0,0,0,2.45,134705,0,8255,10250,3105,0,23012,55002,2086,494,896,11504,15723,2853,1963,9335,3000,2764,0,0
"138","SULLIGENT PUBLIC LIBRARY","AL","CI",1834,1,0,0,0,1,103739,0,13326,0,0,0,18631,0,0,18,0,0,1696,770,0,2946,719,287,11,0
"139","VERNON - MARY WALLACE COBB MEMORIAL LIBRARY","AL","CI",1843,1,0,0,0,1,79678,0,2793,0,2012,0,13156,0,1048,36,0,0,4236,737,0,6844,2430,968,3,5
"140","RED BAY - WEATHERFORD PUBLIC LIBRARY","AL","CI",3108,1,0,0,0,1,53480,1950,625,0,0,0,11132,0,0,24,0,0,4760,711,0,3564,1111,995,4,6
"141","WINFIELD PUBLIC LIBRARY","AL","CI",4559,1,0,0,0,1,193996,0,20430,0,3500,60088,26579,0,4741,915,0,0,5038,3717,0,9824,2889,519,189,166
"142","ATHENS - LIMESTONE PUBLIC LIBRARY","AL","CO",102228,1,0,0,2,7.88,693911,0,34100,7700,0,0,77399,56286,3632,1113,0,12660,48113,7492,36481,99168,47573,5755,20,13
"143","DECATUR PUBLIC LIBRARY","AL","CI",87765,1,0,0,1,12.6,941262,0,58579,44141,7833,0,81832,58679,4959,3346,821,13773,72443,33208,50551,110914,68439,8105,6,50
"144","HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE","AL","CI",22927,1,0,0,0,3.5,225993,0,21596,21750,3117,0,31760,797486,864,605,26700,532754,11807,5146,7326,38901,19529,1173,0,0
