"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"4082","CHIPPEWA RIVER DISTRICT LIBRARY SYSTEM","MI","LD",46057,1,4,0,7.1,10.1,2644617,0,96850,52648,52777,66170,126591,60027,17016,7905,2631,9224,64340,9323,36314,153191,58411,10228,10535,11714
"4083","VICKSBURG DISTRICT LIBRARY","MI","LD",13503,1,0,0,1.88,2.63,375390,0,12015,2000,2963,4123,25872,23282,5096,1655,0,4639,14101,2371,7882,21708,8355,1864,3119,4753
"4084","WAKEFIELD PUBLIC LIBRARY","MI","CI",2003,1,0,0,0,0.63,86596,0,5550,1600,1100,0,17922,16266,1128,122,286,4981,16908,659,1163,5555,2174,259,18,324
"4085","WALDRON DISTRICT LIBRARY","MI","LD",2408,1,0,0,0,1,112470,0,1527,200,56,23292,11561,22810,1330,341,0,7176,3983,866,802,3997,1621,286,546,760
"4086","WALKERVILLE PUBLIC/SCHOOL LIBRARY","MI","SD",1941,1,0,0,0.39,0.39,24401,0,81,0,0,15626,12627,0,29,0,0,0,289,525,0,1271,1205,35,0,0
"4087","WALLED LAKE CITY LIBRARY","MI","CI",7250,1,0,0,2.2,2.3,416757,0,30548,9101,10974,21365,20505,68639,2566,928,814,29610,18426,2331,8836,34713,15864,3748,11487,5871
"4088","WALTON ERICKSON PUBLIC LIBRARY","MI","SD",9638,1,0,0,0,0.95,69670,0,4853,1167,200,1852,28863,29396,985,120,135,5189,6695,11800,997,6701,2670,840,0,71
"4089","SPRING LAKE DISTRICT LIBRARY","MI","LD",19868,1,0,0,4.2,5.43,1548076,0,60172,80512,12775,19663,59488,646276,7260,3746,30949,28495,51843,8264,56980,198219,93862,1417,13682,10494
"4090","WARREN PUBLIC LIBRARY","MI","CI",139387,1,3,0,13.13,15,4867376,0,333392,89205,116884,55034,245887,41331,15167,34858,1196,51549,153239,66274,35677,471744,132595,20225,36035,36849
"4091","WATERFORD TOWNSHIP PUBLIC LIBRARY","MI","CI",70852,1,0,0,10,10,2273009,0,93016,51060,9552,104939,99753,38898,4166,5936,1380,17905,53319,20796,72341,143804,53195,15379,29164,34314
"4092","WATERTOWN TOWNSHIP LIBRARY","MI","CI",2091,1,0,0,0,0.7,30158,0,2287,0,125,0,14869,8200,0,0,0,0,3758,758,1,21646,3694,65,317,161
"4093","WATERVLIET DISTRICT LIBRARY","MI","LD",4705,1,0,0,0,1,268373,0,14434,5438,1069,7178,25493,22391,2091,935,0,6717,9059,4174,2190,7214,1776,1806,846,818
"4094","WEST BLOOMFIELD TOWNSHIP PUBLIC LIBRARY","MI","CI",72613,1,1,0,13.25,14.63,5811130,0,491975,614840,233270,216822,146284,37892,33043,15908,10102,43107,462932,73091,162376,1262991,626297,106480,10549,9976
"4095","WEST BRANCH DISTRICT LIBRARY","MI","LD",9123,1,0,0,2,2,247282,0,13764,0,2272,85946,49297,3251,867,1489,0,0,24878,4246,1654,20213,6311,2650,2788,5489
"4096","WEST IRON DISTRICT LIBRARY","MI","LD",7305,1,0,0,0,1,574414,2000,39500,11000,7000,4000,61584,13547,3976,3362,0,4993,34605,4155,3505,43359,14388,2040,5040,2179
"4097","WHEATLAND TOWNSHIP LIBRARY","MI","CI",2829,1,0,0,0,1.6,75295,0,10400,0,0,0,20900,0,55,417,0,0,1582,2495,0,1455,216,218,0,0
"4098","WHITE LAKE TOWNSHIP LIBRARY","MI","CI",30950,1,0,0,5.7,6.4,1362631,6350,95463,35919,40744,255205,73883,63635,5973,2030,814,10399,36393,13284,38109,154056,92388,10191,23868,17440
"4099","WHITE PIGEON TOWNSHIP LIBRARY","MI","CI",5226,1,0,0,0,3,243833,0,10485,4972,798,3683,15911,732713,791,906,25419,520156,11005,1664,5708,15046,6148,2135,836,1274
"4100","WHITE PINE DISTRICT LIBRARY","MI","CI",9953,1,0,0,0,0.75,365608,0,12219,2845,2567,17529,26619,36373,2962,1529,0,8818,19188,6866,4911,17513,6056,1534,2096,1844
"4101","WHITEFISH TOWNSHIP COMMUNITY LIBRARY","MI","CI",474,1,0,0,0.38,0.38,44933,0,3077,250,2897,1084,12092,14718,2110,965,286,6258,2108,646,1284,3044,195,160,1,39
"4102","WHITE LAKE COMMUNITY LIBRARY","MI","LD",12381,1,0,0,0,4.45,573365,0,23114,9844,2002,111875,41932,29265,3524,2778,820,11337,35788,2723,14352,60679,25863,2066,6720,6274
"4103","WILLARD PUBLIC LIBRARY","MI","LD",90179,1,1,0,8,19,5861091,0,467094,197626,122225,839064,143803,108651,21411,13286,5091,58214,159474,19940,182716,442622,101421,23891,0,0
"4104","AITKIN MEMORIAL DISTRICT LIBRARY","MI","LD",7173,1,0,0,1,1.73,293380,0,28138,6149,4627,14070,26875,20760,1699,594,41870,4793,14682,1529,2541,11998,3581,3329,645,1276
"4105","DOROTHY HULL LIBRARY - WINDSOR TOWNSHIP","MI","CI",7140,1,0,0,1.68,1.68,102373,0,15855,530,873,1444,12918,11901,610,657,0,3964,7046,1590,4144,11356,4281,232,522,1938
